processor	poc_name	code_path	emu	arch	expected_status	historical_result
xiangshan-v2	spectre-v1-poc-kmhv2	/nfs/home/leizhenyu/opt/verified_poc/xiangshan-v2/spectre-v1-poc-kmhv2/code	/nfs/home/leizhenyu/opt/DUTs/XiangShan/build/emu	riscv64-xs-flash	full-string pass	S3CreT
xiangshan-v2	spectre-v2-poc-kmhv2	/nfs/home/leizhenyu/opt/verified_poc/xiangshan-v2/spectre-v2-poc-kmhv2/code	/nfs/home/leizhenyu/opt/DUTs/XiangShan/build/emu	riscv64-xs	full-string pass	S3CreT
xiangshan-v2	spectre-v1-priv-kmhv2	/nfs/home/leizhenyu/opt/verified_poc/xiangshan-v2/spectre-v1-priv-kmhv2/code	/nfs/home/leizhenyu/opt/DUTs/XiangShan/build/emu	riscv64-xs	full-string pass with direct-read fault	S3CreT
xiangshan-v2	spectre-v1-asid-kmhv2	/nfs/home/leizhenyu/opt/verified_poc/xiangshan-v2/spectre-v1-asid-kmhv2/code	/nfs/home/leizhenyu/opt/DUTs/XiangShan/build/emu	riscv64-xs	full-string pass with ASID separation	S3CreT
xiangshan-v2	spectre-v1-vmid-kmhv2	/nfs/home/leizhenyu/opt/verified_poc/xiangshan-v2/spectre-v1-vmid-kmhv2/code	/nfs/home/leizhenyu/opt/DUTs/XiangShan/build/emu	riscv64-xs	full-string pass with VMID separation	S3CreT
xiangshan-v2	spectre-v2-privilege-kmhv2	/nfs/home/leizhenyu/opt/verified_poc/xiangshan-v2/spectre-v2-privilege-kmhv2/code	/nfs/home/leizhenyu/opt/DUTs/XiangShan/build/emu	riscv64-xs	full-string noisy/partial	S3p111 vs S3CreT, check=FAIL
xiangshan-v3	spectre-v1-poc-kmhv3	/nfs/home/leizhenyu/opt/verified_poc/xiangshan-v3/spectre-v1-poc-kmhv3/code	/nfs/home/leizhenyu/opt/DUTs/XiangShan-V3/build/emu	riscv64-xs-flash	full-string pass	S3CreT
